"metric","value","reference","implementation_target"
"viewport","1920x1320","all screenshots","Playwright parity desktop capture"
"topbar height","48px","14-317 app chrome","var(--am-topbar-height)"
"icon rail width","56px","14-317 left rail","var(--am-rail-width)"
"secondary sidebar width","216px","analytics/admin side navigation","var(--am-sidebar-width)"
"page gutter","20px x 16px","home, builder, profile pages","var(--am-page-pad-x/y)"
"panel padding","16px standard / 12px compact","dashboard cards and builder blocks","var(--am-panel-pad)"
"table row height","34px","all-content, profiles, heatmap, team tables","var(--am-table-row-height)"
"table header height","32px","table surfaces","var(--am-table-header-height)"
"input/button height","32px","toolbar, filters, auth forms","var(--am-control-height)"
"radius","2px, 4px, 6px, 999px","buttons, inputs, panels, pills","tokenized radius scale"
"modal width","420px small / 560px medium","auth, save/share/invite dialogs","modal size variants"
"side panel width","360px","resource, recommendation, setup panels","var(--am-side-panel-width)"
"dark theme","dark canvas/surface/border tokens","297-302","data-theme=dark token override"
